ann;mes;dia;hora;reflectancia;nc;N;Hext;RadSolar
2014.0;1.0;1.0;7.0;0.0797847814868531;0.3260025902262549;11.888707495864189;9713.32793428274;19.0
2014.0;1.0;1.0;10.0;0.12145352997881803;0.05015147057452692;11.888707495864189;9713.32793428274;800.5
2014.0;1.0;1.0;13.0;1.0251394473449478;0.8240851997996766;11.888707495864189;9713.32793428274;0.0
2014.0;1.0;1.0;16.0;0.07063130799021529;0.07711462118740935;11.888707495864189;9713.32793428274;230.7
2014.0;1.0;2.0;7.0;0.017906343733214012;0.024314235070624253;11.889135297135036;9720.096256442304;0.0
2014.0;1.0;2.0;10.0;0.12140315109609015;0.05008202816988506;11.889135297135036;9720.096256442304;805.8
2014.0;1.0;2.0;13.0;0.1545890798512926;0.02856375654065806;11.889135297135036;9720.096256442304;0.0
2014.0;1.0;2.0;16.0;0.05982548234673931;0.054511477005659545;11.889135297135036;9720.096256442304;767.9
2014.0;1.0;3.0;7.0;0.03580315448670998;0.11157014512204229;11.889603594124653;9727.372585184192;0.0
2014.0;1.0;3.0;10.0;0.14562740097144716;0.0834728076176228;11.889603594124653;9727.372585184192;832.1
2014.0;1.0;3.0;13.0;1.1139126938589226;0.9052074689142211;11.889603594124653;9727.372585184192;560.4
2014.0;1.0;3.0;16.0;0.058070888118869575;0.05084129504811983;11.889603594124653;9727.372585184192;770.0
2014.0;1.0;4.0;7.0;0.05531667482128718;0.20670832356915944;11.890112017568246;9735.147482412916;10.5
2014.0;1.0;4.0;10.0;0.13234099135601374;0.06515878033488114;11.890112017568246;9735.147482412916;751.0
2014.0;1.0;4.0;13.0;0.89938109791375;0.7091654118390937;11.890112017568246;9735.147482412916;781.5
2014.0;1.0;4.0;16.0;0.06357831768279598;0.06236149059924997;11.890112017568246;9735.147482412916;758.4
2014.0;1.0;5.0;7.0;0.0227707800854294;0.048030797012636274;11.890660168419386;9743.410739787929;16.9
2014.0;1.0;5.0;10.0;0.6151816485687484;0.7307078056441138;11.890660168419386;9743.410739787929;533.0
2014.0;1.0;5.0;13.0;0.6792371036560413;0.5079946644865875;11.890660168419386;9743.410739787929;780.5
2014.0;1.0;5.0;16.0;0.2745657644183344;0.5036956224322862;11.890660168419386;9743.410739787929;303.3
2014.0;1.0;6.0;7.0;0.05365753944534785;0.1986192081887664;11.891247618883208;9752.151396869649;0.0
2014.0;1.0;6.0;10.0;0.21161111607807487;0.1744249605059192;11.891247618883208;9752.151396869649;475.0
2014.0;1.0;6.0;13.0;0.435603376144358;0.2853586611331327;11.891247618883208;9752.151396869649;751.0
2014.0;1.0;6.0;16.0;0.5005254852039145;0.9763480894159624;11.891247618883208;9752.151396869649;121.1
2014.0;1.0;7.0;7.0;0.05851679069685189;0.2223104901695882;11.891873913511604;9761.357760666286;0.0
2014.0;1.0;7.0;10.0;0.3305510841771921;0.3383721730203812;11.891873913511604;9761.357760666286;523.5
2014.0;1.0;7.0;11.0;0.3300293201875592;0.2970508473093685;11.891873913511604;9761.357760666286;579.3
2014.0;1.0;7.0;12.0;0.2579550731860235;0.1500686262248409;11.891873913511604;9761.357760666286;0.0
2014.0;1.0;7.0;13.0;0.489774548308616;0.3348610571716449;11.891873913511604;9761.357760666286;788.9
2014.0;1.0;7.0;14.0;0.3776991770651486;0.3371532874793142;11.891873913511604;9761.357760666286;814.2
2014.0;1.0;7.0;15.0;0.341564162853712;0.4181879546434177;11.891873913511604;9761.357760666286;653.0
2014.0;1.0;7.0;16.0;0.5064745558318335;0.9887920900492182;11.891873913511604;9761.357760666286;144.3
2014.0;1.0;8.0;7.0;0.07637149917614182;0.3093611305614181;11.892538570355091;9771.017426532597;0.0
2014.0;1.0;8.0;10.0;0.21590636394924584;0.1803455431897007;11.892538570355091;9771.017426532597;727.8
2014.0;1.0;8.0;13.0;0.16859828517226874;0.041365569798104164;11.892538570355091;9771.017426532597;0.0
2014.0;1.0;8.0;16.0;0.06017845399799784;0.05524980736455107;11.892538570355091;9771.017426532597;622.5
2014.0;1.0;9.0;7.0;0.07796944767549523;0.3171519292934851;11.893241082165725;9781.117300368018;0.0
2014.0;1.0;9.0;10.0;0.5770913980236271;0.6782040888477037;11.893241082165725;9781.117300368018;584.6
2014.0;1.0;9.0;13.0;0.2839620391736411;0.14678662699341802;11.893241082165725;9781.117300368018;691.0
2014.0;1.0;9.0;16.0;0.06206043347653802;0.05918644810853908;11.893241082165725;9781.117300368018;656.2
2014.0;1.0;10.0;7.0;0.0584560972194389;0.22201457908918407;11.893980917645422;9791.643622058471;0.0
2014.0;1.0;10.0;10.0;0.20040127265791968;0.158973278360465;11.893980917645422;9791.643622058471;549.8
2014.0;1.0;10.0;13.0;0.16909183796728164;0.041816585438868965;11.893980917645422;9791.643622058471;0.0
2014.0;1.0;10.0;16.0;0.2502991836169554;0.4529358709104014;11.893980917645422;9791.643622058471;328.6
2014.0;1.0;11.0;7.0;0.09414424316567632;0.3960121530412068;11.894757522733807;9802.58199010287;0.0
2014.0;1.0;11.0;10.0;0.6209200968143661;0.7386177000981254;11.894757522733807;9802.58199010287;439.2
2014.0;1.0;11.0;13.0;0.33099586134372283;0.1897668099809396;11.894757522733807;9802.58199010287;872.1
2014.0;1.0;11.0;14.0;0.5349486948955394;0.5126159248719343;11.894757522733807;9802.58199010287;658.3
2014.0;1.0;11.0;15.0;0.22550405329666;0.24168487584174117;11.894757522733807;9802.58199010287;802.6
2014.0;1.0;11.0;16.0;0.28527271587181313;0.5260919459928175;11.894757522733807;9802.58199010287;347.6
