anno;mes;dia;hora;ndig;reflectancia;rmin;rmax;nc;N;Hext;brilloSolarC;dj
2014.0;1.0;1.0;7.0;100.0;0.1159777754315619;0.0115776635566941;0.31399357900233793;0.34522029609791705;11.958592674128658;9860.211008696584;0.654779703902083;1.0
2014.0;1.0;1.0;10.0;151.0;0.2728922621049542;0.0684970306814505;1.1261061796648695;0.19326159538234874;11.958592674128658;9860.211008696584;0.8067384046176512;1.0
2014.0;1.0;1.0;13.0;81.0;0.1327691902128204;-0.0655858249682455;1.340988729235765;0.14101990867687514;11.958592674128658;9860.211008696584;0.8589800913231249;1.0
2014.0;1.0;1.0;16.0;52.0;0.0416875627126372;0.0239322512536123;0.5295766967962584;0.035114222287105916;11.958592674128658;9860.211008696584;0.9648857777128941;1.0
2014.0;1.0;2.0;7.0;49.0;0.0326605049982468;0.0115776635566941;0.31399357900233793;0.06971472189380232;11.958751831596338;9866.526421540511;0.9302852781061977;2.0
2014.0;1.0;2.0;10.0;67.0;0.0849620199500287;0.0684970306814505;1.1261061796648695;0.015568122953932896;11.958751831596338;9866.526421540511;0.984431877046067;2.0
2014.0;1.0;2.0;13.0;90.0;0.1559357835400156;-0.0655858249682455;1.340988729235765;0.15749012936866444;11.958751831596338;9866.526421540511;0.8425098706313355;2.0
2014.0;1.0;2.0;16.0;57.0;0.050801068899238;0.0239322512536123;0.5295766967962584;0.053137768806677387;11.958751831596338;9866.526421540511;0.9468622311933226;2.0
2014.0;1.0;3.0;7.0;72.0;0.0701991763924003;0.0115776635566941;0.31399357900233793;0.19384400701702756;11.958926055056445;9873.304173155362;0.8061559929829725;3.0
2014.0;1.0;3.0;10.0;96.0;0.1497398794046104;0.0684970306814505;1.1261061796648695;0.07681746021320927;11.958926055056445;9873.304173155362;0.9231825397867908;3.0
2014.0;1.0;3.0;13.0;147.0;0.3020197591314011;-0.0655858249682455;1.340988729235765;0.26134809776057477;11.958926055056445;9873.304173155362;0.7386519022394252;3.0
2014.0;1.0;3.0;16.0;171.0;0.2578903942624448;0.0239322512536123;0.5295766967962584;0.4626929951890482;11.958926055056445;9873.304173155362;0.5373070048109518;3.0
2014.0;1.0;4.0;7.0;81.0;0.0848656214492142;0.0115776635566941;0.31399357900233793;0.24234160356448853;11.959115207162911;9880.53497336203;0.7576583964355115;4.0
2014.0;1.0;4.0;10.0;307.0;0.6210699513191774;0.0684970306814505;1.1261061796648695;0.5224736578431302;11.959115207162911;9880.53497336203;0.47752634215686984;4.0
2014.0;1.0;4.0;13.0;101.0;0.1845177874980863;-0.0655858249682455;1.340988729235765;0.17781042015783308;11.959115207162911;9880.53497336203;0.8221895798421669;4.0
2014.0;1.0;4.0;16.0;85.0;0.1018034222128776;0.0239322512536123;0.5295766967962584;0.15400380968428465;11.959115207162911;9880.53497336203;0.8459961903157154;4.0
2014.0;1.0;5.0;7.0;64.0;0.0571025704887093;0.0115776635566941;0.31399357900233793;0.1505374043060172;11.959319139492;9888.208778626988;0.8494625956939827;5.0
2014.0;1.0;5.0;10.0;430.0;0.8955394616429969;0.0684970306814505;1.1261061796648695;0.7819925080607568;11.959319139492;9888.208778626988;0.21800749193924318;5.0
2014.0;1.0;5.0;13.0;370.0;0.8750383135114673;-0.0655858249682455;1.340988729235765;0.6687339364048271;11.959319139492;9888.208778626988;0.33126606359517285;5.0
2014.0;1.0;5.0;16.0;257.0;0.4148889960346699;0.0239322512536123;0.5295766967962584;0.7731850873225586;11.959319139492;9888.208778626988;0.22681491267744136;5.0
2014.0;1.0;6.0;7.0;48.0;0.0309880814887092;0.0115776635566941;0.31399357900233793;0.06418451192759371;11.959537692926435;9896.314810278418;0.9358154880724063;6.0
2014.0;1.0;6.0;10.0;403.0;0.8349647704581765;0.0684970306814505;1.1261061796648695;0.7247173878114235;11.959537692926435;9896.314810278418;0.2752826121885765;6.0
2014.0;1.0;6.0;13.0;598.0;1.4620626922423214;-0.0655858249682455;1.340988729235765;1.0;11.959537692926435;9896.314810278418;0.0;6.0
2014.0;1.0;6.0;16.0;246.0;0.3952522648075579;0.0239322512536123;0.5295766967962584;0.7343500296051969;11.959537692926435;9896.314810278418;0.2656499703948031;6.0
2014.0;1.0;7.0;7.0;103.0;0.1206481411106235;0.0115776635566941;0.31399357900233793;0.36066381424800936;11.959770698062693;9904.84157412012;0.6393361857519906;7.0
2014.0;1.0;7.0;10.0;398.0;0.8235512530727828;0.0684970306814505;1.1261061796648695;0.7139255774376531;11.959770698062693;9904.84157412012;0.28607442256234694;7.0
2014.0;1.0;7.0;11.0;275.0;0.6140289753096876;0.0998619597300684;1.2176991168608169;0.4599659371668921;11.959770698062693;9904.84157412012;0.540034062833108;7.0
2014.0;1.0;7.0;12.0;360.0;0.8727396767984025;0.1094723258558126;1.3344715538843948;0.6230757811749258;11.959770698062693;9904.84157412012;0.3769242188250742;7.0
2014.0;1.0;7.0;13.0;203.0;0.4477108473649708;-0.0655858249682455;1.340988729235765;0.36492674405282;11.959770698062693;9904.84157412012;0.63507325594718;7.0
