ann;mes;dia;hora;reflectancia;nc;N;Hext;RadSolar
2014.0;1.0;1.0;7.0;0.0734504732275841;0.25969260303862546;11.934302640561533;9809.55925848354;11.7
2014.0;1.0;1.0;10.0;0.34105939577956823;0.27905714249574887;11.934302640561533;9809.55925848354;307.1
2014.0;1.0;1.0;13.0;0.7200516982489771;0.43617623766796076;11.934302640561533;9809.55925848354;709.4
2014.0;1.0;1.0;16.0;0.4381247111455676;0.7585147447275778;11.934302640561533;9809.55925848354;251.7
2014.0;1.0;2.0;7.0;0.022844948048183943;0.04253643295597581;11.934555165437795;9816.033151135507;44.7
2014.0;1.0;2.0;10.0;0.1515172298936703;0.08571331981970418;11.934555165437795;9816.033151135507;593.8
2014.0;1.0;2.0;13.0;0.5324106486607303;0.29485373362685097;11.934555165437795;9816.033151135507;500.5
2014.0;1.0;2.0;16.0;0.047118526688301715;0.042922160251181514;11.934555165437795;9816.033151135507;381.0
2014.0;1.0;3.0;7.0;0.08809071867425812;0.3225161706036121;11.934831594501928;9822.98534826126;12.6
2014.0;1.0;3.0;10.0;0.7483740775293133;0.6945413553804949;11.934831594501928;9822.98534826126;492.7
2014.0;1.0;3.0;13.0;1.096750636286285;0.7198883428276718;11.934831594501928;9822.98534826126;258.5
2014.0;1.0;3.0;16.0;0.2648519985938919;0.44140296204261414;11.934831594501928;9822.98534826126;190.5
2014.0;1.0;4.0;7.0;0.08480241680168668;0.3084055564326936;11.935131709822755;9830.40650659188;14.6
2014.0;1.0;4.0;10.0;0.723604061153159;0.669274525535378;11.935131709822755;9830.40650659188;422.7
2014.0;1.0;4.0;13.0;0.980674848069369;0.6324654623579836;11.935131709822755;9830.40650659188;189.5
2014.0;1.0;4.0;16.0;0.05810696232028634;0.06303243821049034;11.935131709822755;9830.40650659188;213.8
2014.0;1.0;5.0;7.0;0.12716343694981266;0.490183274647257;11.935455275892027;9838.286523495213;0.0
2014.0;1.0;5.0;10.0;0.8279623023855126;0.7757258852806201;11.935455275892027;9838.286523495213;157.4
2014.0;1.0;5.0;13.0;1.2146656284549833;0.8086964261006833;11.935455275892027;9838.286523495213;170.1
2014.0;1.0;5.0;16.0;0.40714530118232894;0.7018183626181265;11.935455275892027;9838.286523495213;62.2
2014.0;1.0;6.0;7.0;0.11571324854494773;0.4410487374221123;11.935802040234025;9846.614555171685;0.0
2014.0;1.0;6.0;10.0;0.9567486418477076;0.9070952988551438;11.935802040234025;9846.614555171685;217.7
2014.0;1.0;6.0;13.0;0.967918390618298;0.6228578924065515;11.935802040234025;9846.614555171685;303.2
2014.0;1.0;6.0;16.0;0.19649135957473887;0.31629402950725133;11.935802040234025;9846.614555171685;227.4
2014.0;1.0;7.0;7.0;0.06679747219534009;0.2311435420695649;11.936171734051804;9855.379036249244;0.0
2014.0;1.0;7.0;10.0;0.7273621097649683;0.6731079495179182;11.936171734051804;9855.379036249244;331.4
2014.0;1.0;7.0;11.0;1.039302720091651;0.8558728812525318;11.936171734051804;9855.379036249244;363.5
2014.0;1.0;7.0;12.0;1.024266376264214;0.6281680308818424;11.936171734051804;9855.379036249244;448.0
2014.0;1.0;7.0;13.0;0.4589842539267733;0.23955239104065107;11.936171734051804;9855.379036249244;652.1
2014.0;1.0;7.0;14.0;0.8413545996977428;0.8704580671657042;11.936171734051804;9855.379036249244;491.7
2014.0;1.0;7.0;15.0;0.5084731182720953;0.7128615099854031;11.936171734051804;9855.379036249244;363.5
2014.0;1.0;7.0;16.0;0.29865966406800404;0.5032754225647249;11.936171734051804;9855.379036249244;222.5
2014.0;1.0;8.0;7.0;0.10260358659970764;0.38479314143700327;11.936564072906867;9864.567700727808;0.0
2014.0;1.0;8.0;10.0;0.5025700208552113;0.44380719433234433;11.936564072906867;9864.567700727808;164.2
2014.0;1.0;8.0;13.0;0.8833127682366176;0.5591368759382842;11.936564072906867;9864.567700727808;489.8
2014.0;1.0;8.0;16.0;0.16405241378555124;0.256926505468737;11.936564072906867;9864.567700727808;267.2
2014.0;1.0;9.0;7.0;0.13024235075868562;0.5033953721085358;11.936978757428935;9874.167604219878;0.0
2014.0;1.0;9.0;10.0;0.649184052674961;0.5933618711900635;11.936978757428935;9874.167604219878;226.4
2014.0;1.0;9.0;13.0;0.8640116816685152;0.544600195982038;11.936978757428935;9874.167604219878;385.8
2014.0;1.0;9.0;16.0;0.1897469684718537;0.30395090949565295;11.936978757428935;9874.167604219878;109.8
2014.0;1.0;10.0;7.0;0.06346898526492714;0.21686048757272391;11.93741547405257;9884.165147430856;0.0
2014.0;1.0;10.0;10.0;0.6823886236281431;0.6272324278991752;11.93741547405257;9884.165147430856;233.2
2014.0;1.0;10.0;13.0;1.1022009445778027;0.7239932613262813;11.93741547405257;9884.165147430856;215.7
2014.0;1.0;10.0;16.0;0.18991963193243805;0.3042669062673554;11.93741547405257;9884.165147430856;229.3
2014.0;1.0;11.0;7.0;0.082965270279073;0.30052207530455294;11.937873895777082;9894.546100819389;0.0
2014.0;1.0;11.0;10.0;0.5489214992778274;0.49108834669772183;11.937873895777082;9894.546100819389;327.5
2014.0;1.0;11.0;13.0;0.6292965137028871;0.36782365723361093;11.937873895777082;9894.546100819389;600.6
2014.0;1.0;11.0;14.0;0.4374307856995943;0.3926713381699162;11.937873895777082;9894.546100819389;621.0
2014.0;1.0;11.0;15.0;0.6498784521435467;0.938352224288407;11.937873895777082;9894.546100819389;563.7
2014.0;1.0;11.0;16.0;0.5172627517565417;0.9033477352589444;11.937873895777082;9894.546100819389;180.8
2014.0;1.0;11.0;17.0;0.0750881176892132;0.21494631402934372;11.937873895777082;9894.546100819389;57.3
2014.0;1.0;11.0;18.0;0.028850501820736018;0.3471069751443847;11.937873895777082;9894.546100819389;22.4
2014.0;1.0;12.0;7.0;0.08618382640853013;0.31433339965680884;11.938353682946339;9905.295630374938;0.0
2014.0;1.0;12.0;10.0;1.0043451469841929;0.9556464494980454;11.938353682946339;9905.295630374938;55.4
2014.0;1.0;12.0;13.0;0.24021943650800084;0.0747889138507771;11.938353682946339;9905.295630374938;730.8
2014.0;1.0;12.0;16.0;0.09146940726793644;0.12409008679392258;11.938353682946339;9905.295630374938;501.5
