anno;mes;dia;hora;ndig;reflectancia;rmin;rmax;nc;N;Hext;brilloSolarC;dj
2012.0;1.0;1.0;7.0;134.0;0.1619370137354366;-0.0451190960039226;0.22578425901399235;0.7643172589193903;11.825988607562191;9578.60214284162;0.23568274108060971;1.0
2012.0;1.0;1.0;10.0;71.0;0.0876394436030094;0.0709687460889091;0.9942121772400712;0.018056665178017194;11.825988607562191;9578.60214284162;0.9819433348219828;1.0
2012.0;1.0;1.0;13.0;368.0;0.8015022727670077;-0.0740425113296014;1.1669650692597358;0.705511229577522;11.825988607562191;9578.60214284162;0.294488770422478;1.0
2012.0;1.0;1.0;16.0;228.0;0.3379344229474779;-0.0442979879725002;0.5617753579781859;0.6306702208136354;11.825988607562191;9578.60214284162;0.36932977918636456;1.0
2012.0;1.0;2.0;6.0;29.0;0.0;-0.0029763643156549;0.00834628512749112;0.262868185630934;11.826657564213455;9585.76867889904;0.7371318143690659;2.0
2012.0;1.0;2.0;7.0;69.0;0.0616747208661536;-0.0451190960039226;0.22578425901399235;0.39421371087491286;11.826657564213455;9585.76867889904;0.6057862891250871;2.0
2012.0;1.0;2.0;8.0;111.0;0.1354357125831041;0.0374824418766448;0.2866434371628441;0.39313244271618475;11.826657564213455;9585.76867889904;0.6068675572838153;2.0
2012.0;1.0;2.0;9.0;268.0;0.4401774522689073;-0.0566716732326999;0.4889267666688253;0.9106498280883707;11.826657564213455;9585.76867889904;0.0893501719116293;2.0
2012.0;1.0;2.0;10.0;311.0;0.5882201083015139;0.0709687460889091;0.9942121772400712;0.5602545815762383;11.826657564213455;9585.76867889904;0.4397454184237617;2.0
2012.0;1.0;2.0;11.0;347.0;0.7367183232704823;0.1009463051080628;0.8436800431956787;0.8559891459884392;11.826657564213455;9585.76867889904;0.14401085401156077;2.0
2012.0;1.0;2.0;12.0;381.0;0.8562005868241365;0.1240871584992983;1.193067065643608;0.684871084509547;11.826657564213455;9585.76867889904;0.31512891549045297;2.0
2012.0;1.0;2.0;13.0;264.0;0.5562966194871606;-0.0740425113296014;1.1669650692597358;0.5079252864172051;11.826657564213455;9585.76867889904;0.49207471358279486;2.0
2012.0;1.0;2.0;16.0;186.0;0.2668743078316877;-0.0442979879725002;0.5617753579781859;0.5134234954947299;11.826657564213455;9585.76867889904;0.4865765045052701;2.0
2012.0;1.0;3.0;6.0;30.0;0.0015187757996764;-0.0029763643156549;0.00834628512749112;0.3970042645851196;11.827389843479564;9593.48348037427;0.6029957354148804;3.0
2012.0;1.0;3.0;7.0;102.0;0.1125264959637745;-0.0451190960039226;0.22578425901399235;0.5819255799075354;11.827389843479564;9593.48348037427;0.41807442009246465;3.0
2012.0;1.0;3.0;8.0;198.0;0.2789868891337896;0.0374824418766448;0.2866434371628441;0.9692706797054661;11.827389843479564;9593.48348037427;0.0307293202945339;3.0
2012.0;1.0;3.0;9.0;117.0;0.1619836751424365;-0.0566716732326999;0.4889267666688253;0.4007624149632858;11.827389843479564;9593.48348037427;0.5992375850367142;3.0
2012.0;1.0;3.0;10.0;309.0;0.583851259003056;0.0709687460889091;0.9942121772400712;0.555522515090793;11.827389843479564;9593.48348037427;0.444477484909207;3.0
2012.0;1.0;3.0;13.0;133.0;0.2465032070231703;-0.0740425113296014;1.1669650692597358;0.2582947303194949;11.827389843479564;9593.48348037427;0.7417052696805051;3.0
2012.0;1.0;3.0;16.0;91.0;0.1054929397403998;-0.0442979879725002;0.5617753579781859;0.2471498354344194;11.827389843479564;9593.48348037427;0.7528501645655806;3.0
2012.0;1.0;4.0;7.0;90.0;0.0940028216374581;-0.0451190960039226;0.22578425901399235;0.5135481531123175;11.828184867700047;9601.7369891036;0.4864518468876825;4.0
2012.0;1.0;4.0;10.0;263.0;0.4877827812476561;0.0709687460889091;0.9942121772400712;0.45146710076131846;11.828184867700047;9601.7369891036;0.5485328992386815;4.0
2012.0;1.0;4.0;13.0;438.0;0.970688781408938;-0.0740425113296014;1.1669650692597358;0.8418411854038886;11.828184867700047;9601.7369891036;0.15815881459611136;4.0
2012.0;1.0;4.0;16.0;175.0;0.2486598629984599;-0.0442979879725002;0.5617753579781859;0.4833702932628174;11.828184867700047;9601.7369891036;0.5166297067371826;4.0
2012.0;1.0;5.0;7.0;56.0;0.0415956916284726;-0.0451190960039226;0.22578425901399235;0.32009491955779107;11.829042012629532;9610.518862566338;0.6799050804422089;5.0
2012.0;1.0;5.0;10.0;315.0;0.5960134057918357;0.0709687460889091;0.9942121772400712;0.5686957978658624;11.829042012629532;9610.518862566338;0.43130420213413756;5.0
2012.0;1.0;5.0;13.0;240.0;0.5014446564377762;-0.0740425113296014;1.1669650692597358;0.46372574734320865;11.829042012629532;9610.518862566338;0.5362742526567914;5.0
2012.0;1.0;5.0;16.0;71.0;0.0716010653563798;-0.0442979879725002;0.5617753579781859;0.19122941819373507;11.829042012629532;9610.518862566338;0.8087705818062649;5.0
2012.0;1.0;6.0;7.0;86.0;0.0877864342954742;-0.0451190960039226;0.22578425901399235;0.4906012710348593;11.82996060905474;9619.817991937343;0.5093987289651407;6.0
2012.0;1.0;6.0;10.0;368.0;0.7062883091342119;0.0709687460889091;0.9942121772400712;0.6881387309229415;11.82996060905474;9619.817991937343;0.31186126907705847;6.0
2012.0;1.0;6.0;13.0;198.0;0.4021860988881628;-0.0740425113296014;1.1669650692597358;0.3837435142754002;11.82996060905474;9619.817991937343;0.6162564857245998;6.0
2012.0;1.0;6.0;16.0;193.0;0.2798512921436034;-0.0442979879725002;0.5617753579781859;0.5348350695205765;11.82996060905474;9619.817991937343;0.46516493047942353;6.0
2012.0;1.0;7.0;7.0;78.0;0.0754416301463927;-0.0451190960039226;0.22578425901399235;0.44503223720630025;11.830939944508591;9629.622521541078;0.5549677627936997;7.0
2012.0;1.0;7.0;10.0;121.0;0.19163523622466;0.0709687460889091;0.9942121772400712;0.13069845510332612;11.830939944508591;9629.622521541078;0.8693015448966739;7.0
2012.0;1.0;7.0;13.0;326.0;0.7078024957064066;-0.0740425113296014;1.1669650692597358;0.6300082443208934;11.830939944508591;9629.622521541078;0.3699917556791066;7.0
