anno;mes;dia;hora;ndig;reflectancia;rmin;rmax;nc;N;Hext;brilloSolarC;dj
2013.0;1.0;1.0;7.0;48.0;0.0302176603237097;0.0112553151983991;0.2979836708780454;0.06613348400915293;11.958592674128658;9860.211008696584;0.933866515990847;1.0
2013.0;1.0;1.0;10.0;230.0;0.4377420390522913;-0.0562709920425591;1.0969081079732592;0.42839228623556735;11.958592674128658;9860.211008696584;0.5716077137644326;1.0
2013.0;1.0;1.0;13.0;359.0;0.8203491097248848;0.0916848674109236;1.442555112029859;0.5394035772247755;11.958592674128658;9860.211008696584;0.4605964227752245;1.0
2013.0;1.0;1.0;16.0;150.0;0.213528007411459;0.0258153322324127;0.5572444259564245;0.3532224287226012;11.958592674128658;9860.211008696584;0.6467775712773989;1.0
2013.0;1.0;2.0;7.0;80.0;0.0810874950509227;0.0112553151983991;0.2979836708780454;0.2435482172211289;11.958751831596338;9866.526421540511;0.756451782778871;2.0
2013.0;1.0;2.0;10.0;274.0;0.5333325932819215;-0.0562709920425591;1.0969081079732592;0.5112853548216344;11.958751831596338;9866.526421540511;0.4887146451783656;2.0
2013.0;1.0;2.0;13.0;526.0;1.236981342079025;0.0916848674109236;1.442555112029859;0.8478212317062147;11.958751831596338;9866.526421540511;0.1521787682937853;2.0
2013.0;1.0;2.0;16.0;120.0;0.1607485335708046;0.0258153322324127;0.5572444259564245;0.2539063121155859;11.958751831596338;9866.526421540511;0.7460936878844141;2.0
2013.0;1.0;3.0;7.0;105.0;0.1208002858590063;0.0112553151983991;0.2979836708780454;0.3820514033254485;11.958926055056445;9873.304173155362;0.6179485966745515;3.0
2013.0;1.0;3.0;10.0;302.0;0.5940406051458449;-0.0562709920425591;1.0969081079732592;0.5639293993270288;11.958926055056445;9873.304173155362;0.4360706006729712;3.0
2013.0;1.0;3.0;13.0;446.0;1.039154716210384;0.0916848674109236;1.442555112029859;0.7013773917766103;11.958926055056445;9873.304173155362;0.2986226082233897;3.0
2013.0;1.0;3.0;16.0;151.0;0.2157235014888872;0.0258153322324127;0.5572444259564245;0.35735373072197646;11.958926055056445;9873.304173155362;0.6426462692780235;3.0
2013.0;1.0;4.0;7.0;163.0;0.2129237267875271;0.0112553151983991;0.2979836708780454;0.7033431036532941;11.959115207162911;9880.53497336203;0.2966568963467059;4.0
2013.0;1.0;4.0;10.0;498.0;1.0201390515114366;-0.0562709920425591;1.0969081079732592;0.9334283317649708;11.959115207162911;9880.53497336203;0.06657166823502925;4.0
2013.0;1.0;4.0;13.0;475.0;1.112836621803119;0.0916848674109236;1.442555112029859;0.7559214206248582;11.959115207162911;9880.53497336203;0.24407857937514177;4.0
2013.0;1.0;4.0;16.0;118.0;0.1575270592384375;0.0258153322324127;0.5572444259564245;0.24784440400703187;11.959115207162911;9880.53497336203;0.7521555959929681;4.0
2013.0;1.0;5.0;7.0;77.0;0.0762464556409143;0.0112553151983991;0.2979836708780454;0.22666450371977864;11.959319139492;9888.208778626988;0.7733354962802214;5.0
2013.0;1.0;5.0;10.0;509.0;1.0436921112535598;-0.0562709920425591;1.0969081079732592;0.9538527911935193;11.959319139492;9888.208778626988;0.04614720880648071;5.0
2013.0;1.0;5.0;13.0;414.0;0.9618873825919364;0.0916848674109236;1.442555112029859;0.6441792012573988;11.959319139492;9888.208778626988;0.3558207987426012;5.0
2013.0;1.0;5.0;16.0;183.0;0.2728403504131472;0.0258153322324127;0.5572444259564245;0.4648315666153997;11.959319139492;9888.208778626988;0.5351684333846003;5.0
2013.0;1.0;6.0;7.0;71.0;0.066693143410635;0.0112553151983991;0.2979836708780454;0.19334616585384062;11.959537692926435;9896.314810278418;0.8066538341461593;6.0
2013.0;1.0;6.0;10.0;325.0;0.6433970555664413;-0.0562709920425591;1.0969081079732592;0.6067297331346042;11.959537692926435;9896.314810278418;0.3932702668653958;6.0
2013.0;1.0;6.0;13.0;250.0;0.552887550609891;0.0916848674109236;1.442555112029859;0.34141153455420675;11.959537692926435;9896.314810278418;0.6585884654457932;6.0
2013.0;1.0;6.0;16.0;57.0;0.0496550556654055;0.0258153322324127;0.5572444259564245;0.04485965054328307;11.959537692926435;9896.314810278418;0.9551403494567169;6.0
2013.0;1.0;7.0;7.0;60.0;0.0492086462364373;0.0112553151983991;0.2979836708780454;0.13236685624648306;11.959770698062693;9904.84157412012;0.867633143753517;7.0
2013.0;1.0;7.0;10.0;120.0;0.1977408820038162;-0.0562709920425591;1.0969081079732592;0.22027096575275343;11.959770698062693;9904.84157412012;0.7797290342472466;7.0
2013.0;1.0;7.0;13.0;160.0;0.3281787622100265;0.0916848674109236;1.442555112029859;0.175067809614694;11.959770698062693;9904.84157412012;0.824932190385306;7.0
2013.0;1.0;7.0;16.0;63.0;0.0603526596194586;0.0258153322324127;0.5572444259564245;0.06498953067289584;11.959770698062693;9904.84157412012;0.9350104693271042;7.0
2013.0;1.0;8.0;7.0;51.0;0.0349095800155301;0.0112553151983991;0.2979836708780454;0.08249712436379772;11.960017975639278;9913.776881393193;0.9175028756362023;8.0
2013.0;1.0;8.0;10.0;212.0;0.3975441359669152;-0.0562709920425591;1.0969081079732592;0.3935339514939607;11.960017975639278;9913.776881393193;0.6064660485060394;8.0
2013.0;1.0;8.0;13.0;125.0;0.2408341863183056;0.0916848674109236;1.442555112029859;0.11040980397747623;11.960017975639278;9913.776881393193;0.8895901960225238;8.0
2013.0;1.0;8.0;16.0;56.0;0.0479719576766133;0.0258153322324127;0.5572444259564245;0.0416925337845866;11.960017975639278;9913.776881393193;0.9583074662154134;8.0
